TF,Lib_number,Exp_number,pool_number,Sample_name,why?,bad sample pool?
Swi4,50,16,top,1_60_1,,v
Swi4,45,16,top,1_0_2,,v
Swi4,45,16,top,1_60_1,,v
Swi4,54,16,top,1_0_2,,v
Swi4,54,16,top,1_60_1,,v
Swi4,74,16,top,1_0_2,,
Swi4,74,16,top,1_60_1,,
Swi4,73,16,top,1_60_1,,
Swi4,53,16,top,1_0_2,,
Swi4,53,16,top,1_60_1,,
Swi4,33,16,top,1_0_2,,
Swi4,33,16,top,1_60_1,,
Swi5,48,16,top,1_60_3,,
Swi5,94,16,top,1_60_1,,
Swi5,40,16,top,1_0_2,,
Swi5,40,16,top,1_180_2,,
Swi5,44,16,top,1_0_1,,
Swi5,31,16,top,1_60_3,,
Swi5,77,16,top,1_0_3,,
Swi5,45,16,top,1_60_3,,
Swi5,45,16,top,1_180_2,,
Tda9,86,13,2,2_45_1,,
Tda9,87,13,2,2_0_2,,
Tda9,87,13,2,2_90_1,,
Tda9,36,13,1,2_90_2,,
Tda9,69,13,2,2_90_1,,
Tda9,72,13,1,1_0_2,,
Tda9,72,13,1,2_45_2,,
Tda9,72,13,1,1_180_2,,
Tec1,47,13,1,2_0_1,,
Tec1,47,13,1,2_90_2,,
Tec1,47,13,1,2_45_1,,
Tec1,47,13,1,2_45_2,,
Tec1,65,13,1,2_0_1,,
Tec1,65,13,1,2_90_2,,
Tec1,65,13,1,2_180_2,,
Tec1,64,13,1,2_45_1,,
Tec1,38,13,1,1_45_1,,
Tec1,38,13,1,1_45_2,,
Tec1,38,13,1,1_90_1,,
Tec1,38,13,1,1_90_2,,
Tec1,38,13,1,1_180_1,,
Tec1,38,13,1,1_180_2,,
Tod6,33,16,top,1_60_3,,
Tod6,45,16,top,1_0_3,,
Tos8,90,16,top,1_180_1,,
Tos8,57,19,top,2_180_2,,
Usv1,44,16,top,1_180_1,,
Usv1,44,16,top,1_60_3,,
Usv1,91,16,top,1_60_1,,
Usv1,82,16,top,1_60_1,,
Yap1,56,16,top,1_0_2,,
Yap1,56,16,top,1_60_2,,
Yap1,67,16,top,1_60_2,,
Yap1,49,16,top,1_0_2,,
Yap1,49,16,top,1_60_2,,
Msn2ContextGsy2,32,28,1,1_180_3,,
Msn2ContextND,32,28,1,1_180_2,,
Msn2ContextGpx1,32,28,1,1_180_1,,
Msn2ContextStp4,32,28,1,1_180_2,,
Msn2ContextGsy2,66,28,1,1_180_2,,
Msn2ContextND,66,28,1,1_180_2,,
Msn2ContextAim18,66,28,1,1_180_3,,
Msn2ContextGpx1,66,28,1,1_180_1,,
Msn2ContextStp4,66,28,1,1_180_2,,
Msn2ContextGsy2,56,28,1,1_180_2,,
Msn2ContextND,56,28,1,1_180_2,,
Msn2ContextGpx1,56,28,1,1_180_2,,
Msn2ContextStp4,56,28,1,1_180_2,,
Msn2ContextGsy2,72,28,1,1_180_2,,
Msn2ContextND,72,28,1,1_180_2,,
Msn2ContextGpx1,72,28,1,1_180_2,,
Msn2ContextStp4,72,28,1,1_180_2,,
Msn2ContextGsy2,88,28,2,1_180_3,,
Msn2ContextND,88,28,2,1_180_3,,
Msn2ContextAim18,88,28,2,1_0_3,,
Msn2ContextAim18,88,28,2,1_180_1,,
Msn2ContextGpx1,88,28,2,1_180_1,,
Msn2ContextStp4,88,28,2,1_180_2,,
Msn2ContextGsy2,69,28,2,1_180_3,,
Msn2ContextND,69,28,2,1_180_3,,
Msn2ContextAim18,69,28,2,1_0_3,,
Msn2ContextStp4,69,28,2,1_180_2,,
Msn2ContextGsy2,87,28,2,1_180_3,,
Msn2ContextND,87,28,2,1_180_3,,
Msn2ContextAim18,87,28,2,1_0_3,,
Msn2ContextStp4,87,28,2,1_180_2,,
Msn2ContextGsy2,78,28,2,1_180_3,,
Msn2ContextND,78,28,2,1_180_3,,
Msn2ContextAim18,78,28,2,1_180_1,,
Msn2ContextAim18,78,28,2,1_0_3,,
Msn2ContextGpx1,78,28,2,1_180_1,,
Msn2ContextStp4,78,28,2,1_180_2,,
Msn2DBDOEContextAim18,32,28,1,1_180_3,,
Msn2DBDOEContextGsy2,66,28,1,1_0_3,,
Msn2DBDOEContextGsy2,66,28,1,1_180_1,,
Msn2DBDOEContextND,66,28,1,1_180_3,,
Msn2DBDOEContextAim18,66,28,1,1_0_2,,
Msn2DBDOEContextAim18,66,28,1,1_180_3,,
Msn2DBDOEContextGpx1,66,28,1,1_180_1,,
Msn2DBDOEContextStp4,66,28,1,1_180_1,,
Msn2DBDOEContextGsy2,56,28,1,1_180_3,,
Msn2DBDOEContextND,56,28,1,1_180_3,,
Msn2DBDOEContextAim18,56,28,1,1_180_3,,
Msn2DBDOEContextGpx1,56,28,1,1_180_1,,
Msn2DBDOEContextStp4,56,28,1,1_180_2,,
Msn2DBDOEContextGsy2,72,28,1,1_180_1,,
Msn2DBDOEContextND,72,28,1,1_180_3,,
Msn2DBDOEContextAim18,72,28,1,1_180_3,,
Msn2DBDOEContextGpx1,72,28,1,1_180_1,,
Msn2DBDOEContextGsy2,88,28,2,1_180_2,,
Msn2DBDOEContextND,88,28,2,1_0_3,,
Msn2DBDOEContextND,88,28,2,1_180_3,,
Msn2DBDOEContextAim18,88,28,2,1_0_2,,
Msn2DBDOEContextAim18,88,28,2,1_180_3,,
Msn2DBDOEContextGpx1,88,28,2,1_180_1,,
Msn2DBDOEContextGsy2,69,28,2,1_180_2,,
Msn2DBDOEContextAim18,69,28,2,1_0_1,,
Msn2DBDOEContextAim18,69,28,2,1_180_3,,
Msn2DBDOEContextGsy2,87,28,2,1_0_2,,
Msn2DBDOEContextGsy2,87,28,2,1_180_2,,
Msn2DBDOEContextAim18,87,28,2,1_180_3,,
Msn2DBDOEContextGsy2,78,28,2,1_0_1,,
